ID,story,I,N,V,E,S,T
1,"As Fiona Film-Fan, I want to be able to see what Cinerama is offering,so I can decide if I?ll go there. Acceptance criteria: - homepage is created showing our name, tagline, address, email address and phone number. - homepage lists the movies that are ?now playing?. - the list includes the title, rating, genres, description, cast and crew, and session times for each movie. - the list can be filtered by title and rating. - Max Manager can update the ?now playing? movies as they change.",1,1,1,1,0,1
2,"As Fiona Film-Fan, I want to see which movies are now playing, so I can decide if I?ll come and see any of them. Acceptance criteria: - a Slick jQuery carousel of ?now playing? movies is added to the top of the homepage. - each movie displays for 10 seconds in the carousel. - each panel in the carousel includes the movies? name, rating,length, genres, description, cast and crew, and sessions times. - carousel displays under a 'Check out the great movies that are playing now' H1 heading.",1,0,1,1,1,1
3,"As Fiona Film-Fan, I want to be able to filter movies, so I can choose the one that I want to see. Acceptance criteria: - Filters are added to movie listings.",1,1,1,0,1,1
4,"As Fiona Film-Fan, I want to be able to sort as well as filter movie listings, so I can choose the movie that I want to see based on the factors that matter most to me. Acceptance criteria: - the filters also include sort options. - movie listings can be sorted by session times, newest first, rating and title.",0,1,1,1,1,1
5,As Fiona Film-Fan I want to be able to easily watch trailers of movies so I can decide if I want to see them. Acceptance criteria: - trailer videos are embedded on each movie?s listing page. - videos are high-quality. - embedded video is well-integrated into the page design. - video is big enough to be clear. -  the video controls are user-friendly.,1,1,1,1,1,0
6,"As Max Manager, I want a database so we can store our customers? details. Acceptance criteria: - database is built. - database stores name, email, phone number, favourite film, genre, date of birth, previous film bookings.",1,1,0,1,1,1
7,"As Fiona Film-Fan, I want to be able to find Cinerama?s details online so that I can decide if I want to go there. Acceptance criteria: - single page website is created showing: our name, our slogan, our address, our email address, our phone number.",1,1,1,1,1,1
8,"As Fiona Film-Fan, I want to be able to see which movies are ?now playing?, so I can decide if I?ll come and see any of them. Acceptance criteria: - list of ?now playing? movies is added to the website. - list includes the title, sessions, rating, genres, description, cast and crew, and session times for each movie. - Max Manager can update the ?now playing?  movies and their details as they change. - Max Manager only has access to edit the ?now playing? section, not other parts of the site. - Max Manager is the only person with access to edit this section.",1,1,1,1,1,1
9,"As Fiona Film-Fan, I want to be able to reserve seats so I can turn up safe in the knowledge the movie I want to see hasn?t sold out when I get there. Acceptance criteria: - customers can select a movie. - customers can select the session. - customers can select the number of seats they want to reserve for that movie. - customers get email confirmation of their reservation. - customers CANNOT choose specific seats. - customers CANNOT pay for seats.",1,1,1,1,1,1
10,"As Max Manager, I want a website so we?ve got an online presence. Acceptance criteria: - Website is built.",0,0,0,0,0,0
11,"As a user, I want to log in using my social media account so that I can access the app quickly.Acceptance Criteria: - The user can log in using Facebook, Google, or Twitter. - The login process should be completed within 5 seconds. -The user should be redirected to the home screen after successful login.",1,1,1,1,1,1
12,"As a user, I want to receive push notifications for new messages so that I stay informed. Acceptance Criteria: -	The user can enable or disable push notifications in the settings. - Notifications should be received within 1 minute of a new message. - The notification should include the sender's name and a preview of the message.",1,1,1,1,1,1
13,"As a user, I want to view my order history so that I can keep track of my past purchases. Acceptance Criteria: -	The user can access the order history from the profile menu. - The order history should display the date, items, and total amount for each order. - The user can filter orders by date range.",1,1,1,1,1,1
14,"As a user, I want to search for products by category so that I can find items more easily. Acceptance Criteria: -	The user can select a category from a dropdown menu. - The search results should display products within the selected category. - The user can sort the results by price, popularity, or rating.",1,1,1,1,1,1
15,"As a user, I want to change my profile picture so that my account reflects my current image. Acceptance Criteria: - The user can upload a new profile picture from their device. - The profile picture should be updated immediately after upload. - The user should receive a confirmation message after the picture is successfully updated.",1,1,1,1,1,1
16,"As a user, I want to reset my password so that I can regain access to my account if I forget it. Acceptance Criteria: - The user can request a password reset link via email. - The password reset link should be valid for 24 hours. - The user should be able to set a new password after clicking the link.",1,1,1,1,1,1
17,"As a user, I want to add items to my wishlist so that I can purchase them later. Acceptance Criteria: - The user can add items to the wishlist from the product page. - The wishlist should display the item name, price, and a link to the product page. - The user can remove items from the wishlist.",1,1,1,1,1,1
18,"As a user, I want to customize the app's theme so that it matches my preferences. Acceptance Criteria: - The user can choose between light and dark themes in the settings. - The selected theme should be applied immediately. - The user can switch themes at any time.",1,1,1,1,1,1
19,"As a user, I want to receive personalized product recommendations so that I can discover items I might like.   Acceptance Criteria: - The app should display personalized recommendations on the home screen. -	Recommendations should be based on the user's browsing and purchase history. - The user can view more details about each recommended product.",1,1,1,1,1,1
20,"As a user, I want to leave a review for a product so that I can share my experience with others.  Acceptance Criteria: -	The user can leave a review from the product page. - The review should include a rating (1-5 stars) and a text comment. - The review should be visible to other users after submission.",1,1,1,1,1,1
21,"As a user, I want to update my contact information so that my account details are accurate. Acceptance Criteria: - The user can update their phone number and email address in the profile settings. - The updated contact information should be saved immediately. - 	The user should receive a confirmation message after the update.",1,1,1,1,1,1
22,"As a user, I want to log out of the app so that my account is secure. Acceptance Criteria: - The user can log out from the profile menu. - The user should be redirected to the login screen after logging out. - The app should not retain any user data after logout.",1,1,1,1,1,1
23,"As a user, I want to view my saved addresses so that I can select one for delivery.  Acceptance Criteria: - The user can view saved addresses from the profile menu. - Each address should display the full address and a nickname (e.g., Home, Work). - The user can select an address for delivery during checkout.",1,1,1,1,1,1
24,"As a user, I want to enable biometric authentication so that I can log in quickly and securely. Acceptance Criteria: - The user can enable biometric authentication (fingerprint or face recognition) in the settings. - The app should prompt for biometric authentication on the login screen. - The user can disable biometric authentication at any time.",1,1,1,1,1,1
25,"As a user, I want to receive order status updates so that I know when my order will arrive.  Acceptance Criteria: - The app should send push notifications for order status updates (e.g., shipped, out for delivery, delivered). -The user can view the order status from the order history. - The order status should be updated in real-time.",1,1,1,1,1,1
26,"As a user, I want to search for nearby stores so that I can find locations to visit.  Acceptance Criteria: - The user can search for stores by entering a location or using their current location. - The search results should display store names, addresses, and distances from the user's location. - The user can view more details about each store, including hours of operation and contact information.",1,1,1,1,1,1
27,"As a user, I want to update my payment method so that I can use a different card for purchases.  Acceptance Criteria: - The user can add, edit, or remove payment methods in the profile settings. - The updated payment method should be saved immediately. - The user should receive a confirmation message after the update.",1,1,1,1,1,1
28,"As a user, I want to receive a receipt for my purchase so that I have a record of the transaction. Acceptance Criteria: - The app should send an email receipt to the user after a purchase. - The receipt should include the order number, date, items purchased, and total amount. - The user can view the receipt from the order history.",1,1,1,1,1,1
29,"As a user, I want to view my loyalty points so that I can see how many points I have earned.  Acceptance Criteria: - The user can view their loyalty points from the profile menu. - The loyalty points should display the total points earned and points available for redemption. - The user can view the history of points earned and redeemed.",1,1,1,1,1,1
30,"As a user, I want to share products with friends so that I can recommend items to them. Acceptance Criteria: - The user can share product links via social media, email, or messaging apps.  - The shared link should direct the recipient to the product page in the app. - The user can add a personal message to the shared link.",1,1,1,1,1,1
31,"As a diagnostic user, I want to connect to vehicles,So that connection happens. Acceptance Criteria: - Must connect to car. - Should be fast. - Works good. - No errors ever. - Like other diagnostic tools.",0,0,0,0,0,0
32,"As a user, I want the system to do everything the old system did but better, So customers are happy. Acceptance Criteria: - Better than current system. - More features. - Improved UI . - Should be intuitive. - Make customers smile.",0,0,0,0,0,0
33,"As a mechanic who has been working on cars for 20 years and really knows what they're doing especially with European vehicles although American ones are okay too but Japanese cars can be tricky sometimes, I want to see all the data, So I can fix stuff. Acceptance Criteria: - Shows the data. - Updates whenever. - Probably needs some graphs. - Print function would be nice. - Add export if time permits.",0,0,0,0,0,0
34,I want error codes. Acceptance Criteria: - System reads codes. - Shows them somehow. - Allows clearing. - Maybe save them. - Do something with history.,0,0,0,0,0,0
35,"As user, I want a modern interface, because old ones are bad. Acceptance Criteria: - Make it look nice. - Use good colors. - Not too many buttons. - Should be user-friendly. - Works on screens.",0,0,0,0,0,0
